title,url,description
"European Commission - DigComp 2.2: Digital Competence Framework for Citizens",https://joint-research-centre.ec.europa.eu/projects-and-activities/education-and-training/digital-transformation-education/digital-competence-framework-citizens-digcomp_en,"The EU-wide framework defining digital competence across 5 areas and 21 competences, helping policymakers design education and training initiatives."

"European Commission - Digital Skills Initiatives",https://digital-strategy.ec.europa.eu/en/policies/digital-skills-initiatives,"Overview of EU programmes supporting digital skills development, including funding opportunities and policy frameworks for member states."

"World Bank - Data Use and Literacy Program Resources",https://www.worldbank.org/en/programs/data-use-and-literacy-program/publications,"Collection of MOOCs and training materials for data producers, users, and policymakers, with courses available in multiple languages."

"OECD - Bridging the AI Skills Gap",https://www.oecd.org/en/publications/bridging-the-ai-skills-gap_66d0702e-en.html,"Analysis of government policies and training initiatives for developing both advanced AI expertise and general AI literacy."

"UNESCO - Digital Competency Framework for Civil Servants",https://www.unesco.org/en/digital-competency-framework,"Context-sensitive framework with guidelines, resources and tools for governments to develop AI and digital transformation competencies."

"UNESCO & Oxford - AI and Digital Transformation in Government (Free MOOC)",https://aiforgood.itu.int/equipping-civil-servants-for-the-ai-era-unesco-and-oxford-launch-free-online-course-on-ai/,"Free online course launched in 2025 for civil servants, featuring case studies from the Global South and available in multiple languages."

"UK Government - Digital, Data and Technology (DDaT) Capability Framework",https://ddat-capability-framework.service.gov.uk/,"Comprehensive framework defining over 160 skills across 43 digital roles, creating standardised career paths across UK government."

"Canada - GC Digital Competencies for All Public Servants",https://www.canada.ca/en/treasury-board-secretariat/topics/professional-development/gc-digital-competencies-all-public-servants.html,"Six foundational digital competencies for all Canadian public servants, including digital literacy, data stewardship, and cyber security vigilance."

"Data to Policy Navigator - Build Data Capacities",https://www.datatopolicy.org/considerations/build-data-capacities,"Practical guide on systematically building data capacities through training, partnerships, and institutionalisation strategies."

"World Bank - Skills Development Overview",https://www.worldbank.org/en/topic/skillsdevelopment,"Overview of World Bank support for skills development systems, including case studies and measurement tools like STEP and SABER-WfD."

"OECD - Developing Skills for Digital Government",https://one.oecd.org/document/DELSA/ELSA/WD/SEM(2024)1/en/pdf,"Comprehensive report examining skills development approaches across multiple OECD countries including Germany, France, Denmark, and Australia."
